IDC;CNPJ Cliente;Desc estab;UF do Cliente;Cod Item Cliente;Desc Item Cliente;Marca Cliente;Cod Item;Desc Item;Marca da resposta;Qtd.;Status;Motivo da Rejeição;Data Inicial;Val. Unit.;Data de Encerramento;Estab;Vendedor;Valor Total;Região;Família;Data Resposta
533142;4,4456E+13;Unimed Bauru (Clinica);SP;1633;daptomicina 500mg;SEM VINCULO;7,89858E+12;daptomicina 500 mg po liof sol inj/infus iv fa trans;ACCORD FARMACEUTICA LTDA;50;Perdido;;04/12/2025;R$ 119,04;04/12/2025;Filial;50481-Vanusa Garcia;R$ 5.952,00;Sudeste;Materiais Médicos;04/12/2025
532922;03866223000124;Medradius (Maceió/Al) (Hosp. Medradius);AL;4639;actemra (tocilizumabe) 200mg/10ml - roche medicamento termolábil;ROCHE;7896226505879DF;actemra;ROCHE;3;Perdido;;04/12/2025;R$ 2.203,65;05/12/2025;FarmaPontual;50478-Adriana Araujo;R$ 6.610,95;Nordeste;Medicamentos;04/12/2025
533576;4,4456E+13;Unimed Bauru (Clinica);SP;42494;faricimabe 120mg/ml intravitreal- vabysmo;SEM VINCULO;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;2;Confirmado;;04/12/2025;R$ 3.027,11;05/12/2025;Filial;50481-Vanusa Garcia;R$ 6.054,22;Sudeste;Materiais de Laboratório e Banco de Sangue;05/12/2025
533576;4,4456E+13;Unimed Bauru (Clinica);SP;42494;faricimabe 120mg/ml intravitreal- vabysmo;SEM VINCULO;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;2;Confirmado;;04/12/2025;R$ 3.027,11;05/12/2025;Filial;50481-Vanusa Garcia;R$ 6.054,22;Sudeste;Materiais Odontológicos;05/12/2025
533576;4,4456E+13;Unimed Bauru (Clinica);SP;42494;faricimabe 120mg/ml intravitreal- vabysmo;SEM VINCULO;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;2;Confirmado;;04/12/2025;R$ 3.027,11;05/12/2025;Filial;50481-Vanusa Garcia;R$ 6.054,22;Sudeste;Gêneros Alimentícios;05/12/2025
533576;4,4456E+13;Unimed Bauru (Clinica);SP;42494;faricimabe 120mg/ml intravitreal- vabysmo;SEM VINCULO;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;2;Confirmado;;04/12/2025;R$ 3.027,11;05/12/2025;Filial;50481-Vanusa Garcia;R$ 6.054,22;Sudeste;Materiais Médicos;05/12/2025
533576;4,4456E+13;Unimed Bauru (Clinica);SP;42494;faricimabe 120mg/ml intravitreal- vabysmo;SEM VINCULO;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;2;Confirmado;;04/12/2025;R$ 3.027,11;05/12/2025;Filial;50481-Vanusa Garcia;R$ 6.054,22;Sudeste;Dietas enterais;05/12/2025
533576;4,4456E+13;Unimed Bauru (Clinica);SP;42494;faricimabe 120mg/ml intravitreal- vabysmo;SEM VINCULO;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;2;Confirmado;;04/12/2025;R$ 3.027,11;05/12/2025;Filial;50481-Vanusa Garcia;R$ 6.054,22;Sudeste;Medicamentos;05/12/2025
533594;03315918000541;Unimed Campo Grande (Unimed Cg);MS;99796;alecensa 150mg;ROCHE;7,61333E+12;alecensa 150mg;ROCHE;224;Perdido;;04/12/2025;R$ 125,07;05/12/2025;Filial;50481-Vanusa Garcia;R$ 28.015,68;Centro-Oeste;Dietas enterais;05/12/2025
533594;03315918000541;Unimed Campo Grande (Unimed Cg);MS;99796;alecensa 150mg;ROCHE;7,61333E+12;alecensa 150mg;ROCHE;224;Perdido;;04/12/2025;R$ 125,07;05/12/2025;Filial;50481-Vanusa Garcia;R$ 28.015,68;Centro-Oeste;Medicamentos;05/12/2025
533473;8,70966E+13;Unimed Porto Alegre (Oncologia);RS;600927;np ropolivy 140mg po liof sol inj - roch;SEM VINCULO;7,61333E+12;ropolivy 1fa 140mg sol inj;ROCHE;1;Perdido;;04/12/2025;R$ 72.551,00;05/12/2025;Filial;50483-Mateus Augusto;R$ 72.551,00;Sul;Medicamentos;04/12/2025
532713;03511658000156;Oncovida (Oncovida Onco);SP;591;perjeta 420mg;Outros;7,89623E+12;perjeta 420mg;Outros;1;Perdido;;03/12/2025;R$ 13.920,00;09/12/2025;Filial;50481-Vanusa Garcia;R$ 13.920,00;Sudeste;Medicamentos;04/12/2025
532721;03511658000156;Oncovida (Oncovida Onco);SP;635;ferinject 50mg/ml - 10ml;Outros;7,89858E+12;ferinject injet 50mg 1fa x 10ml;Outros;20;Perdido;;03/12/2025;R$ 568,21;10/12/2025;Filial;50481-Vanusa Garcia;R$ 11.364,20;Sudeste;Dietas enterais;04/12/2025
532721;03511658000156;Oncovida (Oncovida Onco);SP;635;ferinject 50mg/ml - 10ml;Outros;7,89858E+12;ferinject injet 50mg 1fa x 10ml;Outros;20;Perdido;;03/12/2025;R$ 568,21;10/12/2025;Filial;50481-Vanusa Garcia;R$ 11.364,20;Sudeste;Medicamentos;04/12/2025
532192;4,28923E+13;4health - Unimed Gov. Valadares (Lab Unimed);MG;2969;tocilizumabe 162mg/0,9ml sc ser;ROCHE;7,89623E+12;actemra 4ser preenc 162mg 0,9ml inj;ROCHE;4;Confirmado;;03/12/2025;R$ 1.433,08;04/12/2025;Filial;50483-Mateus Augusto;R$ 5.732,33;Sudeste;Medicamentos;03/12/2025
532597;03315918000541;Unimed Campo Grande (Unimed Cg);MS;99932;zejula 100 mg;GLAXOSMITHKLINE BRASIL LTDA;7,89602E+12;zejula 100mg;GLAXOSMITHKLINE BRASIL LTDA;56;Confirmado;;03/12/2025;R$ 390,02;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 21.841,18;Centro-Oeste;Dietas enterais;03/12/2025
532597;03315918000541;Unimed Campo Grande (Unimed Cg);MS;99932;zejula 100 mg;GLAXOSMITHKLINE BRASIL LTDA;7,89602E+12;zejula 100mg;GLAXOSMITHKLINE BRASIL LTDA;56;Confirmado;;03/12/2025;R$ 390,02;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 21.841,18;Centro-Oeste;Medicamentos;03/12/2025
532424;03315918000541;Unimed Campo Grande (Unimed Cg);MS;99903;tagrisso 80mg;ASTRAZENECA DO BRASIL LTDA;5,00046E+12;tagrisso 80mg;ASTRAZENECA DO BRASIL LTDA;30;Confirmado;;03/12/2025;R$ 1.036,27;03/12/2025;Filial;50481-Vanusa Garcia;R$ 31.088,03;Centro-Oeste;Dietas enterais;03/12/2025
532424;03315918000541;Unimed Campo Grande (Unimed Cg);MS;99903;tagrisso 80mg;ASTRAZENECA DO BRASIL LTDA;5,00046E+12;tagrisso 80mg;ASTRAZENECA DO BRASIL LTDA;30;Confirmado;;03/12/2025;R$ 1.036,27;03/12/2025;Filial;50481-Vanusa Garcia;R$ 31.088,03;Centro-Oeste;Medicamentos;03/12/2025
532259;1,75132E+13;Inst. Mario Penna (Bh/Mg) (Mario Penna);MG;93221;alectinibe 150 mg comp - np;SEM VINCULO;7,61333E+12;alecensa 150mg;ROCHE;672;Confirmado;;03/12/2025;R$ 126,61;04/12/2025;Filial;50483-Mateus Augusto;R$ 85.082,46;Sudeste;Medicamentos;03/12/2025
532259;1,75132E+13;Inst. Mario Penna (Bh/Mg) (Mario Penna);MG;97991;acalabrutinibe 100 mg comp - np;SEM VINCULO;5,00046E+12;calquence 100mg;ASTRAZENECA DO BRASIL LTDA;60;Perdido;;03/12/2025;R$ 473,13;04/12/2025;Filial;50483-Mateus Augusto;R$ 28.387,76;Sudeste;Medicamentos;03/12/2025
532259;1,75132E+13;Inst. Mario Penna (Bh/Mg) (Mario Penna);MG;96845;atezolizumabe 60mg/ml - fr amp 20ml - np;SEM VINCULO;7896226507118DF;tecentriq 1200mg;ROCHE;3;Perdido;;03/12/2025;R$ 26.595,89;04/12/2025;Filial;50483-Mateus Augusto;R$ 79.787,67;Sudeste;Medicamentos;03/12/2025
532575;9,26858E+13;Hosp. Moinhos De Vento (Poa/Rs) (Hmv);RS;246847;nucala 100mg can aplic + agu sc inj (npad);SEM VINCULO;7,89602E+12;nucala 100 mg/ml sol + ct aplic;GSK OTC;2;Perdido;;03/12/2025;R$ 9.340,00;04/12/2025;Filial;50483-Mateus Augusto;R$ 18.680,00;Sul;Medicamentos;03/12/2025
532575;9,26858E+13;Hosp. Moinhos De Vento (Poa/Rs) (Hmv);RS;184959;dysport tipo a 500ui inj (npad);IPSEN FARMACEUTICA LTDA;DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS;1;IPSEN FARMACEUTICA LTDA;5;Confirmado;;03/12/2025;R$ 2.245,52;04/12/2025;Filial;50483-Mateus Augusto;R$ 11.227,60;Sul;Dietas enterais;03/12/2025
532575;9,26858E+13;Hosp. Moinhos De Vento (Poa/Rs) (Hmv);RS;184959;dysport tipo a 500ui inj (npad);IPSEN FARMACEUTICA LTDA;DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS;1;IPSEN FARMACEUTICA LTDA;5;Confirmado;;03/12/2025;R$ 2.245,52;04/12/2025;Filial;50483-Mateus Augusto;R$ 11.227,60;Sul;Medicamentos;03/12/2025
532575;9,26858E+13;Hosp. Moinhos De Vento (Poa/Rs) (Hmv);RS;246847;nucala 100mg can aplic + agu sc inj (npad);SEM VINCULO;7,89602E+12;nucala 100 mg/ml sol + ct aplic;GSK OTC;2;Perdido;;03/12/2025;R$ 9.340,00;04/12/2025;Filial;50483-Mateus Augusto;R$ 18.680,00;Sul;Dietas enterais;03/12/2025
532092;04311093001289;Cassems (Cmda);MS;22754;kadcyla 100mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 100mg;ROCHE;12;Perdido;;03/12/2025;R$ 8.887,00;03/12/2025;Filial;50481-Vanusa Garcia;R$ 106.644,00;Centro-Oeste;Dietas enterais;03/12/2025
532092;04311093001289;Cassems (Cmda);MS;22754;kadcyla 100mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 100mg;ROCHE;12;Perdido;;03/12/2025;R$ 8.887,00;03/12/2025;Filial;50481-Vanusa Garcia;R$ 106.644,00;Centro-Oeste;Medicamentos;03/12/2025
532092;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;13;Confirmado;;03/12/2025;R$ 14.887,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 193.531,00;Centro-Oeste;Dietas enterais;03/12/2025
532092;04311093001289;Cassems (Cmda);MS;22755;kadcyla 160mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 160mg;ROCHE;8;Perdido;;03/12/2025;R$ 14.827,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 118.616,00;Centro-Oeste;Dietas enterais;03/12/2025
532092;04311093001289;Cassems (Cmda);MS;22755;kadcyla 160mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 160mg;ROCHE;8;Perdido;;03/12/2025;R$ 14.827,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 118.616,00;Centro-Oeste;Medicamentos;03/12/2025
532092;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;13;Confirmado;;03/12/2025;R$ 14.887,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 193.531,00;Centro-Oeste;Medicamentos;03/12/2025
531988;4,28923E+13;4health - Unimed Gov. Valadares (Lab Unimed);MG;2956;tocilizumabe 80mg/4ml ev fr-amp;ROCHE;7896226505879DF;actemra;ROCHE;8;Confirmado;;03/12/2025;R$ 836,69;03/12/2025;FarmaPontual;50483-Mateus Augusto;R$ 6.693,52;Sudeste;Medicamentos;03/12/2025
532689;1,77907E+13;Unimed Uberlândia (Onco);MG;4631;enspryng 120 mg sol inj sc ct 1 ser preenc plas trans x 1 ml;Outros;ENSPRYNG;enspryng 120 mg sol inj sc ct 1 ser preenc plas trans x 1ml;Outros;1;Perdido;;03/12/2025;R$ 46.587,98;12/12/2025;Filial;50615-Maria Eduarda Souza farias;R$ 46.587,98;Sudeste;Medicamentos;05/12/2025
532713;03511658000156;Oncovida (Oncovida Onco);SP;591;perjeta 420mg;Outros;7,89623E+12;perjeta 420mg;Outros;1;Perdido;;03/12/2025;R$ 13.920,00;09/12/2025;Filial;50481-Vanusa Garcia;R$ 13.920,00;Sudeste;Dietas enterais;04/12/2025
530985;1,66765E+13;Rede Mater Dei Saúde (Nova Lima);MG;97900;carboximaltose ferrica (50mg/ml) fa 10ml inj - ferinject;SEM VINCULO;7,89858E+12;ferinject injet 50mg 1fa x 10ml;BLANVER FARMOQUIMICA E FARMACEUTICA S A ;5;Perdido;;02/12/2025;R$ 583,32;02/12/2025;Filial;50483-Mateus Augusto;R$ 2.916,60;Sudeste;Medicamentos;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;23829;calquence 100 mg caps - lab. astrazeneca;SEM VINCULO;5,00046E+12;calquence;ASTRAZENECA DO BRASIL LTDA;60;Perdido;;02/12/2025;R$ 471,92;04/12/2025;Filial;50481-Vanusa Garcia;R$ 28.315,20;Centro-Oeste;Dietas enterais;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;23829;calquence 100 mg caps - lab. astrazeneca;SEM VINCULO;5,00046E+12;calquence;ASTRAZENECA DO BRASIL LTDA;60;Perdido;;02/12/2025;R$ 471,92;04/12/2025;Filial;50481-Vanusa Garcia;R$ 28.315,20;Centro-Oeste;Medicamentos;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;22886;zejula 100mg vo caps;SEM VINCULO;7,89602E+12;zejula 100mg;GLAXOSMITHKLINE BRASIL LTDA;56;Confirmado;;02/12/2025;R$ 409,48;04/12/2025;Filial;50481-Vanusa Garcia;R$ 22.931,04;Centro-Oeste;Dietas enterais;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;22886;zejula 100mg vo caps;SEM VINCULO;7,89602E+12;zejula 100mg;GLAXOSMITHKLINE BRASIL LTDA;56;Confirmado;;02/12/2025;R$ 409,48;04/12/2025;Filial;50481-Vanusa Garcia;R$ 22.931,04;Centro-Oeste;Medicamentos;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;22573;nexavar 200mg comp - lab bayer;SEM VINCULO;7,89111E+12;nexavar 200mg;BAYER S A ;120;Perdido;;02/12/2025;R$ 131,22;04/12/2025;Filial;50481-Vanusa Garcia;R$ 15.746,38;Centro-Oeste;Dietas enterais;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;25079;darolutamida  300mg comp.;SEM VINCULO;7,89111E+12;nubeqa 300 mg com rev fr x 120;BAYER S A ;240;Perdido;;02/12/2025;R$ 99,47;04/12/2025;Filial;50481-Vanusa Garcia;R$ 23.872,80;Centro-Oeste;Dietas enterais;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;25079;darolutamida  300mg comp.;SEM VINCULO;7,89111E+12;nubeqa 300 mg com rev fr x 120;BAYER S A ;240;Perdido;;02/12/2025;R$ 99,47;04/12/2025;Filial;50481-Vanusa Garcia;R$ 23.872,80;Centro-Oeste;Medicamentos;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;24293;lynparza 150mg comp - lab astrazeneca;SEM VINCULO;5,00046E+12;lynparza 150mg;ASTRAZENECA DO BRASIL LTDA;224;Confirmado;;02/12/2025;R$ 262,99;04/12/2025;Filial;50481-Vanusa Garcia;R$ 58.909,76;Centro-Oeste;Dietas enterais;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;24293;lynparza 150mg comp - lab astrazeneca;SEM VINCULO;5,00046E+12;lynparza 150mg;ASTRAZENECA DO BRASIL LTDA;224;Confirmado;;02/12/2025;R$ 262,99;04/12/2025;Filial;50481-Vanusa Garcia;R$ 58.909,76;Centro-Oeste;Medicamentos;02/12/2025
531361;4,86284E+13;Unimed Sta. Bárbara D Oeste E Americana (H. Sta Barbara);SP;56125;faricimabe solucao injetavel 120 mg/ml;ROCHE;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;1;Confirmado;;02/12/2025;R$ 3.036,11;04/12/2025;Filial;50481-Vanusa Garcia;R$ 3.036,11;Sudeste;Dietas enterais;02/12/2025
531361;4,86284E+13;Unimed Sta. Bárbara D Oeste E Americana (H. Sta Barbara);SP;56125;faricimabe solucao injetavel 120 mg/ml;ROCHE;7,61333E+12;vabysmo 120 mg/ml sol inj ivit ct 1 fa vd x 0.24 ml + agu;ROCHE;1;Confirmado;;02/12/2025;R$ 3.036,11;04/12/2025;Filial;50481-Vanusa Garcia;R$ 3.036,11;Sudeste;Medicamentos;02/12/2025
531361;4,86284E+13;Unimed Sta. Bárbara D Oeste E Americana (H. Sta Barbara);SP;27899;tocilizumabe 80mg/4ml;ROCHE;BIO1EBD396355E7;actemra 20 mg/ml sol dil infus iv ct fa vd trans x 4 ml;ROCHE;14;Confirmado;;02/12/2025;R$ 815,00;04/12/2025;Filial;50481-Vanusa Garcia;R$ 11.410,00;Sudeste;Dietas enterais;02/12/2025
531361;4,86284E+13;Unimed Sta. Bárbara D Oeste E Americana (H. Sta Barbara);SP;27899;tocilizumabe 80mg/4ml;ROCHE;BIO1EBD396355E7;actemra 20 mg/ml sol dil infus iv ct fa vd trans x 4 ml;ROCHE;14;Confirmado;;02/12/2025;R$ 815,00;04/12/2025;Filial;50481-Vanusa Garcia;R$ 11.410,00;Sudeste;Medicamentos;02/12/2025
531566;04311093001289;Cassems (Cmda);MS;22573;nexavar 200mg comp - lab bayer;SEM VINCULO;7,89111E+12;nexavar 200mg;BAYER S A ;120;Perdido;;02/12/2025;R$ 131,22;04/12/2025;Filial;50481-Vanusa Garcia;R$ 15.746,38;Centro-Oeste;Medicamentos;02/12/2025
531736;8,86257E+13;Hosp. Mãe De Deus (Rede Suplementar) Porto Alegr (Hmd);RS;95542;lanreotida acetato 120mg sol 0,5ml;IPSEN FARMACEUTICA LTDA;SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML;somatuli;IPSEN FARMACEUTICA LTDA;3;Confirmado;;02/12/2025;R$ 3.099,10;02/12/2025;Filial;50483-Mateus Augusto;R$ 9.297,30;Sul;Medicamentos;02/12/2025
531567;04311093001289;Cassems (Cmda);MS;22468;tagrisso (osimertinibe) 80mg comp - lab astrazeneca;SEM VINCULO;5,00046E+12;tagrisso 80mg;ASTRAZENECA DO BRASIL LTDA;30;Perdido;;02/12/2025;R$ 1.094,06;02/12/2025;Filial;50481-Vanusa Garcia;R$ 32.821,80;Centro-Oeste;Dietas enterais;02/12/2025
531567;04311093001289;Cassems (Cmda);MS;22468;tagrisso (osimertinibe) 80mg comp - lab astrazeneca;SEM VINCULO;5,00046E+12;tagrisso 80mg;ASTRAZENECA DO BRASIL LTDA;30;Perdido;;02/12/2025;R$ 1.094,06;02/12/2025;Filial;50481-Vanusa Garcia;R$ 32.821,80;Centro-Oeste;Medicamentos;02/12/2025
531560;04311093001289;Cassems (Cmda);MS;24586;somatuline autogel 120mg - ser preenc. 0,5ml;SEM VINCULO;SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML;somatuli;IPSEN FARMACEUTICA LTDA;1;Confirmado;;02/12/2025;R$ 3.826,87;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 3.826,87;Centro-Oeste;Dietas enterais;02/12/2025
531560;04311093001289;Cassems (Cmda);MS;24586;somatuline autogel 120mg - ser preenc. 0,5ml;SEM VINCULO;SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML;somatuli;IPSEN FARMACEUTICA LTDA;1;Confirmado;;02/12/2025;R$ 3.826,87;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 3.826,87;Centro-Oeste;Medicamentos;02/12/2025
531560;04311093001289;Cassems (Cmda);MS;22709;gazyva 1000 mg  ev fa 40ml;SEM VINCULO;7,89623E+12;gazyva 1fa 40ml 1000mg inj;ROCHE;1;Perdido;;02/12/2025;R$ 27.255,83;03/12/2025;Filial;50481-Vanusa Garcia;R$ 27.255,83;Centro-Oeste;Dietas enterais;02/12/2025
531560;04311093001289;Cassems (Cmda);MS;22709;gazyva 1000 mg  ev fa 40ml;SEM VINCULO;7,89623E+12;gazyva 1fa 40ml 1000mg inj;ROCHE;1;Perdido;;02/12/2025;R$ 27.255,83;03/12/2025;Filial;50481-Vanusa Garcia;R$ 27.255,83;Centro-Oeste;Medicamentos;02/12/2025
531596;8,70966E+13;Unimed Porto Alegre (Oncologia);RS;600319;cabometyx 20mg cp rev cx c30 ipsen;IPSEN FARMACEUTICA LTDA;CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;IPSEN FARMACEUTICA LTDA;90;Confirmado;;02/12/2025;R$ 638,21;03/12/2025;Filial;50483-Mateus Augusto;R$ 57.439,05;Sul;Medicamentos;02/12/2025
531563;04311093001289;Cassems (Cmda);MS;22427;benlysta (belimumabe) 120mg fa - lab gsk;SEM VINCULO;7,89602E+12;benlysta iv 120mg/5ml;GSK OTC;3;Perdido;;02/12/2025;R$ 898,28;03/12/2025;Filial;50481-Vanusa Garcia;R$ 2.694,84;Centro-Oeste;Medicamentos;02/12/2025
531563;04311093001289;Cassems (Cmda);MS;22451;ocrevus 300mg fa - lab roche;SEM VINCULO;7,61333E+12;ocrevus 1fa 10ml 30mg/ml inj;ROCHE;2;Perdido;;02/12/2025;R$ 42.003,64;03/12/2025;Filial;50481-Vanusa Garcia;R$ 84.007,28;Centro-Oeste;Dietas enterais;02/12/2025
531563;04311093001289;Cassems (Cmda);MS;22451;ocrevus 300mg fa - lab roche;SEM VINCULO;7,61333E+12;ocrevus 1fa 10ml 30mg/ml inj;ROCHE;2;Perdido;;02/12/2025;R$ 42.003,64;03/12/2025;Filial;50481-Vanusa Garcia;R$ 84.007,28;Centro-Oeste;Medicamentos;02/12/2025
531563;04311093001289;Cassems (Cmda);MS;22426;benlysta (belimumabe) 400mg fa - lab gsk;SEM VINCULO;7,89602E+12;benlysta iv 400mg / 20ml 1 fr ampola;GSK OTC;3;Perdido;;02/12/2025;R$ 2.994,24;03/12/2025;Filial;50481-Vanusa Garcia;R$ 8.982,72;Centro-Oeste;Dietas enterais;02/12/2025
531563;04311093001289;Cassems (Cmda);MS;22426;benlysta (belimumabe) 400mg fa - lab gsk;SEM VINCULO;7,89602E+12;benlysta iv 400mg / 20ml 1 fr ampola;GSK OTC;3;Perdido;;02/12/2025;R$ 2.994,24;03/12/2025;Filial;50481-Vanusa Garcia;R$ 8.982,72;Centro-Oeste;Medicamentos;02/12/2025
531557;04311093001289;Cassems (Cmda);MS;22754;kadcyla 100mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 100mg;ROCHE;5;Confirmado;;02/12/2025;R$ 8.887,00;03/12/2025;Filial;50481-Vanusa Garcia;R$ 44.435,00;Centro-Oeste;Dietas enterais;02/12/2025
531557;04311093001289;Cassems (Cmda);MS;22754;kadcyla 100mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 100mg;ROCHE;5;Confirmado;;02/12/2025;R$ 8.887,00;03/12/2025;Filial;50481-Vanusa Garcia;R$ 44.435,00;Centro-Oeste;Medicamentos;02/12/2025
531557;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;2;Confirmado;;02/12/2025;R$ 14.887,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 29.774,00;Centro-Oeste;Dietas enterais;02/12/2025
531557;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;2;Confirmado;;02/12/2025;R$ 14.887,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 29.774,00;Centro-Oeste;Medicamentos;02/12/2025
531558;04311093001289;Cassems (Cmda);MS;22754;kadcyla 100mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 100mg;ROCHE;8;Perdido;;02/12/2025;R$ 8.887,00;03/12/2025;Filial;50481-Vanusa Garcia;R$ 71.096,00;Centro-Oeste;Dietas enterais;02/12/2025
531558;04311093001289;Cassems (Cmda);MS;22754;kadcyla 100mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 100mg;ROCHE;8;Perdido;;02/12/2025;R$ 8.887,00;03/12/2025;Filial;50481-Vanusa Garcia;R$ 71.096,00;Centro-Oeste;Medicamentos;02/12/2025
531558;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;1;Perdido;;02/12/2025;R$ 14.887,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 14.887,00;Centro-Oeste;Dietas enterais;02/12/2025
531558;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;1;Perdido;;02/12/2025;R$ 14.887,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 14.887,00;Centro-Oeste;Medicamentos;02/12/2025
531558;04311093001289;Cassems (Cmda);MS;22755;kadcyla 160mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 160mg;ROCHE;1;Perdido;;02/12/2025;R$ 14.827,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 14.827,00;Centro-Oeste;Dietas enterais;02/12/2025
531558;04311093001289;Cassems (Cmda);MS;22755;kadcyla 160mg ev fa;SEM VINCULO;7,89623E+12;kadcyla 160mg;ROCHE;1;Perdido;;02/12/2025;R$ 14.827,00;03/12/2025;FarmaPontual;50481-Vanusa Garcia;R$ 14.827,00;Centro-Oeste;Medicamentos;02/12/2025
531587;8,70966E+13;Unimed Porto Alegre (Oncologia);RS;600319;cabometyx 20mg cp rev cx c30 ipsen;IPSEN FARMACEUTICA LTDA;CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;IPSEN FARMACEUTICA LTDA;150;Confirmado;;02/12/2025;R$ 638,21;03/12/2025;Filial;50483-Mateus Augusto;R$ 95.731,76;Sul;Medicamentos;02/12/2025
531595;8,70966E+13;Unimed Porto Alegre (Oncologia);RS;600319;cabometyx 20mg cp rev cx c30 ipsen;IPSEN FARMACEUTICA LTDA;CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;IPSEN FARMACEUTICA LTDA;30;Confirmado;;02/12/2025;R$ 638,21;03/12/2025;Filial;50483-Mateus Augusto;R$ 19.146,35;Sul;Medicamentos;02/12/2025
531895;1,98784E+13;Fundação São Francisco Xavier (Hmci);MG;74532;tocilizumabe 20mg/ml  fr 10ml  (compra);ROCHE;7896226505879DF;actemra;ROCHE;3;Perdido;;02/12/2025;R$ 2.070,00;03/12/2025;Filial;50483-Mateus Augusto;R$ 6.210,00;Sudeste;Medicamentos;03/12/2025
531668;6,29329E+13;Gsc - Ibcc (São Paulo/Sp) (Ibcc - Vila M.);SP;86943;zoladex la 10,8mg injetavel (gosserrelina);ASTRAZENECA DO BRASIL LTDA;7,89621E+12;zoladex la 10,8mg;ASTRAZENECA DO BRASIL LTDA;15;Confirmado;;02/12/2025;R$ 611,58;17/12/2025;Filial;3069-Bruna Faria;R$ 9.173,67;Sudeste;Medicamentos;02/12/2025
