PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Janeiro 2024 - 12 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
"ERGOMETRIN 0,2 MG/ML SOL INJ SC/IM/IV 50 AMP VD X 1 ML","ERGOMETRIN 0,2 MG/ML SOL INJ SC/IM/IV 50 AMP VD X 1 ML",96,"R$7.453,03"
ERITROMAX 40000 UI/ML 1 SER PREENCH X 1 ML,ERITROMAX 40000 UI/ML 1 SER PREENCH X 1 ML,85,"R$67.708,16"
ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,118,"R$3.495.150,30"
ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,95,"R$1.222.736,66"
ETILEFRIL 10 MG/ML SOL INJ IM/IV/SC CT 6 AMP VD AMB X 1 ML,ETILEFRIL 10 MG/ML SOL INJ IM/IV/SC CT 6 AMP VD AMB X 1 ML,824,"R$6.495,76"
ETOMIDATO 2 MG/ML SOL INJ CX25 AMP VD TRANS X10ML(EMB HOSP),ETOMIDATO 2 MG/ML SOL INJ CX25 AMP VD TRANS X10ML(EMB HOSP),98,"R$22.096,95"
"EVRYSDI 0,75MG/ML PO SOL OR FR80ML+4 SER DOS=2X6ML+12ML","EVRYSDI 0,75MG/ML PO SOL OR FR80ML+4 SER DOS=2X6ML+12ML",438,"R$26.470.332,02"
EXEMESTANO 25 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 30,EXEMESTANO 25 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 30,520,"R$57.987,26"
EXTODIN 100 MCG/ML SOL INJ CT 5 FA VD TRANS X 2 ML,EXTODIN 100 MCG/ML SOL INJ CT 5 FA VD TRANS X 2 ML,"2,100","R$88.752,24"
"EXTRATO CANNABIS SATIVA 1FR 10ML 160,32MG/ML","EXTRATO CANNABIS SATIVA 1FR 10ML 160,32MG/ML",49,"R$21.256,20"
"EXTRATO CANNABIS SATIVA 1FR 30ML 79,14MG/ML","EXTRATO CANNABIS SATIVA 1FR 30ML 79,14MG/ML",89,"R$59.867,12"
"EYLIA 114,3MG/ML S INJ IVIT CT 1 FA VD TRANS X0,263ML+AGU","EYLIA 114,3MG/ML S INJ IVIT CT 1 FA VD TRANS X0,263ML+AGU",61,"R$190.101,63"
"EYLIA 40 MG/ML SOL INJ IVIT CT 1 FA VD X 0,278 ML + AGU","EYLIA 40 MG/ML SOL INJ IVIT CT 1 FA VD X 0,278 ML + AGU","1,885","R$4.385.063,98"
FASENRA 1SER PREENC 1ML 30MG/ML + CAN APLIC  INJ,FASENRA 1SER PREENC 1ML 30MG/ML + CAN APLIC  INJ,320,"R$4.157.760,63"
FASENRA 30 MG/ML SOL INJ CT SER PREECH VD TRANS X 1ML,FASENRA 30 MG/ML SOL INJ CT SER PREECH VD TRANS X 1ML,29,"R$386.720,52"
FASLODEX 50 MG/ML SOL INJ CT 2 SER VD PREENCH X 5ML+2AGULHAS,FASLODEX 50 MG/ML SOL INJ CT 2 SER VD PREENCH X 5ML+2AGULHAS,308,"R$485.562,67"
"FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 28","FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 28",298,"R$214.682,57"
"FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30","FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30	",8,"R$6.178,52"
FENILEFRIN 10MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML(EMB HOSP),FENILEFRIN 10MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML(EMB HOSP),41,"R$20.386,53"
FENITAL 50 MG/ML SOL INJ IM IV CX 10  AMP VD TRANS  X 5 ML,FENITAL 50 MG/ML SOL INJ IM IV CX 10  AMP VD TRANS  X 5 ML,119,"R$2.935,03"
FENOBARBITAL 40 MG/ML SOL OR CT FR GOT VD AMB X 20 ML,FENOBARBITAL 40 MG/ML SOL OR CT FR GOT VD AMB X 20 ML,351,"R$1.100,66"
FENOCRIS 100 MG/ML SOL INJ IM/IV CX 25 AMP VD TRANS X 2 ML,FENOCRIS 100 MG/ML SOL INJ IM/IV CX 25 AMP VD TRANS X 2 ML,238,"R$13.022,03"
"FENTANEST 0,05 MG/ML SOL INJ CX 50 EST X AMP VD AMB X 2 ML","FENTANEST 0,05 MG/ML SOL INJ CX 50 EST X AMP VD AMB X 2 ML",144,"R$34.067,24"
"FENTANEST 25FA 10ML 0,05MG/ML INJ","FENTANEST 25FA 10ML 0,05MG/ML INJ",327,"R$38.789,99"
FERINJECT INJET 50MG 1FA X 10ML,FERINJECT INJET 50MG 1FA X 10ML,"2,749","R$1.586.072,02"
"FILGRASTINE 600MCG/ML 5SER 0,5ML","FILGRASTINE FILGRASTINE 600MCG/ML 5SER 0,5ML",11,"R$632,94"
FLIXOTIDE 250 MCG AER CT LT X 60 DOSES C/APLIC,FLIXOTIDE 250 MCG AER CT LT X 60 DOSES C/APLIC,18,"R$1.780,46"
FLUCAZOL 2MG/ML SOL INFUS IV CX6BOLS PP SIST FECHX100ML,FLUCAZOL 2MG/ML SOL INFUS IV CX6BOLS PP SIST FECHX100ML,197,"R$7.732,95"
FLUCISTEIN 100 MG/ML SOL DIL INFUS IV/INAL CT 5 AMP X 3 ML,FLUCISTEIN 100 MG/ML SOL DIL INFUS IV/INAL CT 5 AMP X 3 ML,673,"R$9.661,68"
FLUCISTEIN 40 MG/G GRAN CT 15 ENV AL/PLAS PE X 5 G,FLUCISTEIN 40 MG/G GRAN CT 15 ENV AL/PLAS PE X 5 G,120,"R$1.395,96"
FLUCONAZOL 2MG/ML SOL INJ INF 06 BOLS PLAS SIST FECH X100ML,FLUCONAZOL 2MG/ML SOL INJ INF 06 BOLS PLAS SIST FECH X100ML,365,"R$13.204,41"
"FLUMAZENIL(PORT 344-LISTA C1) 0,1 MG/ML INJ IV 5AMP VDX 5 ML","FLUMAZENIL(PORT 344-LISTA C1) 0,1 MG/ML INJ IV 5AMP VDX 5 ML",91,"R$3.574,54"
"FLUMAZIL 0,1 MG/ML SOL INJ CX 10 AMP VD TRANS  X 5 ML","FLUMAZIL 0,1 MG/ML SOL INJ CX 10 AMP VD TRANS  X 5 ML",431,"R$33.609,61"
FOPITANT 150 MG PO LIOF SOL INFUS IV CT FA VD TRANS,FOPITANT 150 MG PO LIOF SOL INFUS IV CT FA VD TRANS,96,"R$11.649,03"
FORXIGA 30COM 10MG,FORXIGA 30COM 10MG,"1,917","R$233.713,57"
FOSAPREPITANTO DIMEGLUMINA 150MG PO LIOF SOL INJ IV,FOSAPREPITANTO DIMEGLUMINA 150MG PO LIOF SOL INJ IV,855,"R$125.477,76"
FOSFATO DE CLINDAMICINA 150 MG/ML SOL INJ 50 AMP X 4 ML,FOSFATO DE CLINDAMICINA 150 MG/ML SOL INJ 50 AMP X 4 ML,250,"R$34.268,04"
FRUTOVITAM SOL INJ IV CX 100 AMP VD AMB X 10 ML (EMB HOSP),FRUTOVITAM SOL INJ IV CX 100 AMP VD AMB X 10 ML (EMB HOSP),12,"R$5.362,48"
GANCICLOTRAT 500MG PO LIOF SOL INJ CT FA VD +DIL X 10ML,GANCICLOTRAT 500MG PO LIOF SOL INJ CT FA VD +DIL X 10ML,95,"R$2.661,95"
GAZYVA 1000 MG SOL DIL INFUS IV CT FA VD TRANS X 40 ML,GAZYVA 1000 MG SOL DIL INFUS IV CT FA VD TRANS X 40 ML,330,"R$8.517.413,37"
GENGILIV - BABYDEAS,GENGILIV - BABYDEAS,500,"R$4.307,60"
GLAUB 2 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML,GLAUB 2 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML,160,"R$640,00"
GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX 30 SIST FECHX500ML,GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX 30 SIST FECHX500ML,298,"R$41.664,54"
GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX100 SIST FECHX100ML,GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX100 SIST FECHX100ML,180,"R$55.573,64"
GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX15 SIST FECHX1000ML,GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX15 SIST FECHX1000ML,70,"R$11.550,35"
GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX50 SIST FECH X250ML,GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX50 SIST FECH X250ML,"1,040","R$165.501,40"
GLIVEC 400 MG COM REV CT BL AL/AL X 30,GLIVEC 400 MG COM REV CT BL AL/AL X 30,21,"R$348.863,79"
HALOPERIDOL 2 MG/ML SOL OR CT FR GOT PLAS PEBD OPC X 20 ML,HALOPERIDOL 2 MG/ML SOL OR CT FR GOT PLAS PEBD OPC X 20 ML,900,"R$2.014,95"
HEMOFOL 5000 UI/ML SOL INJ CX 25 FA VD INC X 5 ML,HEMOFOL 5000 UI/ML SOL INJ CX 25 FA VD INC X 5 ML,286,"R$100.125,95"
"HEMOFOL 5000 UI/0,25 ML SOL INJ CX 25 AMP VD INCX0,25ML","HEMOFOL 5000 UI/0,25 ML SOL INJ CX 25 AMP VD INCX0,25ML","1,103","R$152.620,05"
"HEPTRIS 20MG SOL INJ CT 10 SER VD PREENCH X0,2 ML + SIST SEG","HEPTRIS 20MG SOL INJ CT 10 SER VD PREENCH X0,2 ML + SIST SEG",60,"R$5.610,83"
"HEPTRIS 40MG SOL INJ CT 10SER VD PREENCH X0,4 ML  + SIST SEG","HEPTRIS 40MG SOL INJ CT 10SER VD PREENCH X0,4 ML  + SIST SEG",449,"R$58.235,00"
"HEPTRIS 60MG SOL INJ CT 2 SER VD PREENCH X 0,6 ML + SIST SEG","HEPTRIS 60MG SOL INJ CT 2 SER VD PREENCH X 0,6 ML + SIST SEG",270,"R$9.660,00"
"HEPTRIS 80MG SOL INJ CT 2 SER VD PREENCH X 0,8 ML + SIST SEG","HEPTRIS 80MG SOL INJ CT 2 SER VD PREENCH X 0,8 ML + SIST SEG",360,"R$12.965,00"
HERCEPTIN 440 MG PO LIOF SOL INJ IV FA VD + DIL FA X 20ML,HERCEPTIN 440 MG PO LIOF SOL INJ IV FA VD + DIL FA X 20ML,18,"R$296.590,86"
HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,122,"R$1.456.985,62"
HERPES BLOCK ENV C/5 - AMO FARMA,HERPES BLOCK ENV C/5 - AMO FARMA,"2,974","R$19.889,20"
"HEXOMEDINE 1,0 MG/ML + 0,5 MG/ML COLUT CT FR VD AMB SPRX50ML","HEXOMEDINE 1,0 MG/ML + 0,5 MG/ML COLUT CT FR VD AMB SPRX50ML","4,608","R$125.819,41"
HIDANTAL 100 MG COM CT BL AL PLAS LAR X 25,HIDANTAL 100 MG COM CT BL AL PLAS LAR X 25,"1,200","R$10.806,00"
HISTAMIN 2 MG COM CT BL AL PLAS INC X 20,HISTAMIN 2 MG COM CT BL AL PLAS INC X 20,360,"R$1.926,00"
"IDACIO 40MG 2 CAN 0,8ML","IDACIO 40MG 2 CAN 0,8ML",152,"R$120.396,30"
"IMFINZI 120 MG/2,4 ML SOL INJ CT FA VD TRANS X 2,4 ML","IMFINZI 120 MG/2,4 ML SOL INJ CT FA VD TRANS X 2,4 ML",740,"R$2.519.978,14"
IMFINZI 500 MG/10 ML SOL INJ CT FA VD TRANS X 10 ML,IMFINZI 500 MG/10 ML SOL INJ CT FA VD TRANS X 10 ML,"5,417","R$76.239.520,26"
"IMJUDO 25MG / 1,25 ML SOL DIL INFUS CT FA VD TRANS X 1,25 ML","IMJUDO 25MG / 1,25 ML SOL DIL INFUS CT FA VD TRANS X 1,25 ML",34,"R$349.600,64"
IMJUDO 300 MG / 15 ML SOL DIL INFUS CT FA VD TRANS X 15 ML,IMJUDO 300 MG / 15 ML SOL DIL INFUS CT FA VD TRANS X 15 ML,41,"R$5.164.305,81"
IMUNOGLOBULIN 50 MG/ML SOL INJ CT FA VD INC X 100 ML,IMUNOGLOBULIN 50 MG/ML SOL INJ CT FA VD INC X 100 ML,136,"R$250.730,60"
IN0003 - CAIXA TÉRMICA DE ISOPOR  5 LTS,,8,"R$44,96"
IN0012 - CAIXA DE PAPELAO 2 (20X10X15) CM,,93,"R$106,95"
IN0013 - CAIXA DE PAPELAO 3 (30X20X15) CM,,64,"R$65,28"
IN0014 - CAIXA DE PAPELAO 4 (40X30X20) CM,,50,"R$123,00"
IRESSA 250 MG COM REV CT ENV X BL AL/PLAS TRANSP X 30,IRESSA 250 MG COM REV CT ENV X BL AL/PLAS TRANSP X 30,88,"R$196.663,74"
"IVEVI 2,5 MG COM REV CT BL AL PLAS PVC/PVDC X 28","IVEVI 2,5 MG COM REV CT BL AL PLAS PVC/PVDC X 28",19,"R$1.058,38"
JAKAVI 10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,JAKAVI 10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,103,"R$2.451.268,40"
JAKAVI 15 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,JAKAVI 15 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,107,"R$3.199.742,79"
JAKAVI 20 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,JAKAVI 20 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,270,"R$8.052.552,91"
JAKAVI 5 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,JAKAVI 5 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,425,"R$7.016.278,18"
JEMPERLI 50 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,JEMPERLI 50 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,"1,024","R$29.716.624,03"
KADCYLA 100 MG PO LIOF SOL INJ IV CT FA VD TRANS,KADCYLA 100 MG PO LIOF SOL INJ IV CT FA VD TRANS,"2,780","R$23.410.834,76"
KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,840,"R$11.327.894,99"
KAVIT 10 MG/ML SOL INJ CX25 AMP VD AMBX1 ML(EMB HOSP),KAVIT 10 MG/ML SOL INJ CX25 AMP VD AMBX1 ML(EMB HOSP),190,"R$10.608,59"
"KESIMPTA 20 MG/0,4 ML SOL INJ CT 1 CAN PREENC X 0,4 ML","KESIMPTA 20 MG/0,4 ML SOL INJ CT 1 CAN PREENC X 0,4 ML",425,"R$4.789.659,04"
KETAMIN 50 MG/ML SOL INJ IM/IV CX 25 AMP VD AMB X 2 ML,KETAMIN 50 MG/ML SOL INJ IM/IV CX 25 AMP VD AMB X 2 ML,312,"R$116.124,90"
KETAMIN 50 MG/ML SOL INJ IM/IV CX 25 FA VD AMB X 10 ML,KETAMIN 50 MG/ML SOL INJ IM/IV CX 25 FA VD AMB X 10 ML,284,"R$501.407,25"
KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 21,KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 21,58,"R$332.465,58"
KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 42,KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 42,239,"R$2.886.742,95"
KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 63,KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 63,"1,959","R$33.616.091,91"
"KOLLAGENASE+CLORANFENICOL 0,6 U/G+0,01G/G POM DER10BGX30G","KOLLAGENASE+CLORANFENICOL 0,6 U/G+0,01G/G POM DER10BGX30G",69,"R$6.676,86"
KOSELUGO 10 MG CAP DURA CT FR PLAS PEAD OPC X 60,KOSELUGO 10 MG CAP DURA CT FR PLAS PEAD OPC X 60,136,"R$4.711.932,21"
KOSELUGO 25 MG CAP DURA CT FR PLAS PEAD OPC X 60,KOSELUGO 25 MG CAP DURA CT FR PLAS PEAD OPC X 60,58,"R$5.068.354,21"
"KYLEENA 1DIU + 1APLIC 19,5MG","KYLEENA 1DIU + 1APLIC 19,5MG","2,385","R$2.336.583,13"
"L - ACTEMRA 162 MG X 0,9 ML SOL INJ SC CT 4 SER PREENC VD","L - ACTEMRA 162 MG X 0,9 ML SOL INJ SC CT 4 SER PREENC VD",6,"R$29.471,76"
L - ALECENSA 224CAP 150MG,L - ALECENSA 224CAP 150MG,72,"R$1.748.767,97"
L - APRESOLINA 25 MG COM REV CT BL AL/AL X 60,L - APRESOLINA 25 MG COM REV CT BL AL/AL X 60,"3,496","R$75.504,32"
L - APRESOLINA 50 MG COM REV CT BL AL/AL X 60,L - APRESOLINA 50 MG COM REV CT BL AL/AL X 60,105,"R$2.554,65"
L - AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,L - AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,4,"R$7.590,35"
L - COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,L - COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,14,"R$262.271,52"
L - ENTRESTO 100 MG COM REV CT BL AL AL X 60,L - ENTRESTO 100 MG COM REV CT BL AL AL X 60,15,"R$4.036,77"
L - ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,L - ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,73,"R$1.876.104,32"
"L - EVRYSDI 0,75MG/ML PO SOL OR FR80ML+4 SER DOS=2X6ML+12ML","L - EVRYSDI 0,75MG/ML PO SOL OR FR80ML+4 SER DOS=2X6ML+12ML",63,"R$2.830.801,97"
L - HEMCIBRA 150 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,L - HEMCIBRA 150 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,8,"R$542.849,76"
L - HEMCIBRA 30 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,L - HEMCIBRA 30 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,34,"R$472.814,88"
L - HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,L - HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,20,"R$286.540,96"
L - JAKAVI 20 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,L - JAKAVI 20 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,12,"R$292.344,54"
L - KADCYLA 100 MG PO LIOF SOL INJ IV CT FA VD TRANS,L - KADCYLA 100 MG PO LIOF SOL INJ IV CT FA VD TRANS,162,"R$1.212.747,75"
L - KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,L - KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,36,"R$491.535,12"
L - MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,L - MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,230,"R$66.276,80"
L - MICAFUNGINA SODICA 50 MG PO LIOF SOL INFUS IV FA,L - MICAFUNGINA SODICA 50 MG PO LIOF SOL INFUS IV FA,"6,808","R$989.244,47"
L - OCREVUS 30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,L - OCREVUS 30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,142,"R$4.806.296,80"
L - PERJETA 420 MG SOL DIL INFUS CT FA VD TRANS X 14 ML,L - PERJETA 420 MG SOL DIL INFUS CT FA VD TRANS X 14 ML,353,"R$4.046.708,01"
L - RITALINA 10 MG CAP DURA LIB PROL CT FR PLAS PEAD X 30,L - RITALINA 10 MG CAP DURA LIB PROL CT FR PLAS PEAD X 30,12,"R$993,60"
L - TECENTRIQ 1200 MG SOL DIL INFUS IV CT FA VD TRANSX20ML,L - TECENTRIQ 1200 MG SOL DIL INFUS IV CT FA VD TRANSX20ML,26,"R$717.529,17"
L - TEGRETOL 200 MG COM CT BL AL PLAS PVC TRANS X 60,L - TEGRETOL 200 MG COM CT BL AL PLAS PVC TRANS X 60,18,"R$993,60"
L - ULTIBRO(110+50)MCG CAP DURA INAL OR CT BL AL ALX30+1INAL,L - ULTIBRO(110+50)MCG CAP DURA INAL OR CT BL AL ALX30+1INAL,6,"R$1.400,40"
L - XOLAIR 150 MG SOL INJ CT 1 SER PREENC VD TRANS X 1 ML,L - XOLAIR 150 MG SOL INJ CT 1 SER PREENC VD TRANS X 1 ML,2,"R$1.382,46"
L - ZELBORAF 240 MG COM REV CT BL AL AL X 56,L - ZELBORAF 240 MG COM REV CT BL AL AL X 56,122,"R$1.067.967,60"
L- ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,L- ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,3,"R$32.485,37"
L- MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,L- MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,"2,109","R$305.805,00"
LAMICTAL 100 MG COM CT BL AL PLAS TRANS X 30,LAMICTAL 100 MG COM CT BL AL PLAS TRANS X 30,10,"R$4.227,02"
LAMICTAL 50 MG COM CT BL AL PLAS TRANS X 30,LAMICTAL 50 MG COM CT BL AL PLAS TRANS X 30,7,"R$1.530,00"
"LETROZOL 2,5 MG COM REV CT BL AL PLAS PVC/PVDC X 30","LETROZOL 2,5 MG COM REV CT BL AL PLAS PVC/PVDC X 30",603,"R$11.242,86"
LEVOTAC 5MG/ML SOL INFUS IV CX6 BOLS PLAS PP SIST FECHX100ML,LEVOTAC 5MG/ML SOL INFUS IV CX6 BOLS PLAS PP SIST FECHX100ML,61,"R$2.567,87"
LIDOJET 20 MG/ML SOL INJ CT 12 FA VD TRANS X 20 ML,LIDOJET 20 MG/ML SOL INJ CT 12 FA VD TRANS X 20 ML,151,"R$13.863,27"
LISADOR 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 24,LISADOR 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 24,31,"R$226,90"
LOKELMA 5 G PO SUS OR CT ENV AL PLAS PET/PEBDL OPC X 30,LOKELMA 5 G PO SUS OR CT ENV AL PLAS PET/PEBDL OPC X 30,680,"R$1.053.087,60"
LOSEC 10 MG COM REV CT BL AL/AL X 28,LOSEC 10 MG COM REV CT BL AL/AL X 28,10,"R$1.841,50"
LOSEC 20 MG COM REV CT BL AL/AL X 28,LOSEC 20 MG COM REV CT BL AL/AL X 28,16,"R$4.910,21"
LYNPARZA COMPRIMIDOS 100 MG COM REV CT BL AL AL PVC X 56,LYNPARZA COMPRIMIDOS 100 MG COM REV CT BL AL AL PVC X 56,386,"R$5.981.893,98"
LYNPARZA COMPRIMIDOS 150 MG COM REV CT BL AL AL PVC X 56,LYNPARZA COMPRIMIDOS 150 MG COM REV CT BL AL AL PVC X 56,"2,694","R$41.247.566,86"
MABTHERA 10 MG/ML SOL DIL INFUS IV CT 1 FR VD TRANS X 50 ML,MABTHERA 10 MG/ML SOL DIL INFUS IV CT 1 FR VD TRANS X 50 ML,2,"R$19.831,25"
MABTHERA 10 MG/ML SOL DIL INFUS IV CT 2 FR VD TRANS X 10 ML,MABTHERA 10 MG/ML SOL DIL INFUS IV CT 2 FR VD TRANS X 10 ML,7,"R$28.262,03"
"MABTHERA 1400 MG SOL INJ SC CT 1 FA VD TRANS X 11,7 ML","MABTHERA 1400 MG SOL INJ SC CT 1 FA VD TRANS X 11,7 ML",171,"R$2.042.186,78"
MAXSULID 400 MG COM CT BL AL PLAS TRANS X 10,MAXSULID 400 MG COM CT BL AL PLAS TRANS X 10,"1,248","R$16.819,20"
"MEKINIST 0,5 MG COM REV CT FR PLAS PEAD OPC X 30","MEKINIST 0,5 MG COM REV CT FR PLAS PEAD OPC X 30",17,"R$89.457,17"
MEKINIST 2 MG COM REV CT FR PLAS PEAD OPC X 30,MEKINIST 2 MG COM REV CT FR PLAS PEAD OPC X 30,181,"R$3.707.054,01"
MEROPENEM 1 G PO SOL INJ CT 10 FA VD TRANS X 20 ML,MEROPENEM 1 G PO SOL INJ CT 10 FA VD TRANS X 20 ML,10,"R$3.052,20"
MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,"1,050","R$167.648,91"
MICAFUNGINA SODICA 50 MG PO LIOF SOL INFUS IV FA,MICAFUNGINA SODICA 50 MG PO LIOF SOL INFUS IV FA,"2,200","R$270.318,72"
MICOFENOLATO DE SODIO 360 MG COM REV CT BL AL X 50,MICOFENOLATO DE SODIO 360 MG COM REV CT BL AL X 50,20,"R$3.800,00"
MIRENA 1DIU + 1APLIC 52MG,MIRENA 1DIU + 1APLIC 52MG,"8,966","R$8.773.747,74"
MONOFER 100 MG/ML SOL INFUS CT FA VD TRANS X 5 ML,MONOFER 100 MG/ML SOL INFUS CT FA VD TRANS X 5 ML,50,"R$25.483,50"
MUPIROCINA 20 MG/G POM DERM CT BG AL X 15 G,MUPIROCINA 20 MG/G POM DERM CT BG AL X 15 G,925,"R$15.714,79"
MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,900,"R$213.394,90"
MYTEDOM 10 MG COM CT BL AL AL X 20,MYTEDOM 10 MG COM CT BL AL AL X 20,799,"R$22.843,37"
MYTEDOM 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,MYTEDOM 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,548,"R$67.297,78"
MYTEDOM 5 MG COM CT BL AL AL X 20,MYTEDOM 5 MG COM CT BL AL AL X 20,240,"R$3.633,77"
"NARCAN 0,4 MG/ML  SOL INJ IM/SC/IV CX 10 AMP VD TRANS X 1 ML","NARCAN 0,4 MG/ML  SOL INJ IM/SC/IV CX 10 AMP VD TRANS X 1 ML",200,"R$17.858,70"
NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 10 AMP VD AMB X 4 ML,NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 10 AMP VD AMB X 4 ML,432,"R$6.002,81"
NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 25 AMP VD AMB X 2 ML,NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 25 AMP VD AMB X 2 ML,614,"R$17.926,28"
NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 50 AMP VD TRANS X 4 ML,NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 50 AMP VD TRANS X 4 ML,108,"R$7.771,05"
NAUSEDRON 8 MG COM REV CT BL AL/AL X 10,NAUSEDRON 8 MG COM REV CT BL AL/AL X 10,300,"R$2.880,79"
NEBACETIN 5 MG/G +250 UI/G POM CT BG PLAS AL PLAS X 15 G,NEBACETIN 5 MG/G +250 UI/G POM CT BG PLAS AL PLAS X 15 G,"1,134","R$14.124,60"
"NEOCAINA COM VASO 5,0MG/ML+9,1MCG/ML SOL INJ CX10 ESTX20ML","NEOCAINA COM VASO 5,0MG/ML+9,1MCG/ML SOL INJ CX10 ESTX20ML",32,"R$5.974,71"
"NEOCAINA PESADA (5,0 + 80,0)MG/ML SOL INJ CX 40AMP VDX4ML","NEOCAINA PESADA (5,0 + 80,0)MG/ML SOL INJ CX 40AMP VDX4ML",79,"R$17.631,95"
