PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Outubro 2025 - 10 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
OJJAARA 150 MG COM REV CT FR PLAS PEAD OPC X 30,OJJAARA 150 MG COM REV CT FR PLAS PEAD OPC X 30,3,"R$57.060,00"
OJJAARA 200 MG COM REV CT FR PLAS PEAD OPC X 30,OJJAARA 200 MG COM REV CT FR PLAS PEAD OPC X 30,99,"R$2.482.466,29"
OMEPRAZOL 40MG PO LIOF SOL INJ CX25FA TRAN+25AMP DILX10ML,OMEPRAZOL 40MG PO LIOF SOL INJ CX25FA TRAN+25AMP DILX10ML,54,"R$6.426,00"
"PALOCYT 0,05 MG/ML SOL INJ CT FA VD TRANS X 5 ML ","PALOCYT 0,05 MG/ML SOL INJ CT FA VD TRANS X 5 ML ",897,"R$249.496,94"
PAMERGAN 25 MG/ML SOL INJ IM CX 50 AMP VD AMB X 2 ML,PAMERGAN 25 MG/ML SOL INJ IM CX 50 AMP VD AMB X 2 ML,40,"R$4.210,80"
"PELGRAZ 10 MG/ML SOL INJ CT SER VD TRANS PREENC X 0,6 ML","PELGRAZ 10 MG/ML SOL INJ CT SER VD TRANS PREENC X 0,6 ML",89,"R$61.535,75"
PERJETA 420 MG SOL DIL INFUS CT FA VD TRANS X 14 ML,PERJETA 420 MG SOL DIL INFUS CT FA VD TRANS X 14 ML,"1,743","R$24.509.686,67"
PHESGO 1200 MG + 600 MG SOL INJ SC CT FA VD TRANS X 15 ML,PHESGO 1200 MG + 600 MG SOL INJ SC CT FA VD TRANS X 15 ML,34,"R$1.448.084,63"
PHESGO 600 MG + 600 MG SOL INJ SC CT FA VD TRANS X 10 ML,PHESGO 600 MG + 600 MG SOL INJ SC CT FA VD TRANS X 10 ML,222,"R$4.617.327,18"
"POKLI 6 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16,7 ML","POKLI 6 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16,7 ML",110,"R$4.015,00"
POKLI 6 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 50 ML,POKLI 6 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 50 ML,40,"R$3.385,83"
POST PICADA ENV C/20 - BABYDEAS,POST PICADA ENV C/20 - BABYDEAS,"4,262","R$34.344,60"
PREDSIM 11 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML,PREDSIM 11 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML,560,"R$8.344,00"
PREDSIM 3 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOS,PREDSIM 3 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOS,60,"R$1.041,60"
RESLIV DISPLAY 10 ENV C/3 - AMO FARMA,RESLIV DISPLAY 10 ENV C/3 - AMO FARMA,7,"R$1.210,30"
RESLIV ENV C/3 - AMO FARMA,RESLIV ENV C/3 - AMO FARMA,20,"R$364,00"
REVOLADE 25 MG COM REV CT BL AL/AL X 14,REVOLADE 25 MG COM REV CT BL AL/AL X 14,7,"R$15.313,69"
REVOLADE 50 MG COM REV CT BL AL/AL X 14,REVOLADE 50 MG COM REV CT BL AL/AL X 14,10,"R$43.266,58"
RINOSORO SIC 30 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 50 ML,RINOSORO SIC 30 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 50 ML,48,"R$720,00"
"ROCEFIN 1 G IM PO ESTÉRIL CT FA VD TRANS + AMP DIL X 3,5 ML","ROCEFIN 1 G IM PO ESTÉRIL CT FA VD TRANS + AMP DIL X 3,5 ML",211,"R$32.761,05"
ROCEFIN 1 G IV PO ESTÉRIL CT FA VD TRANS + AMP DIL X 10 ML,ROCEFIN 1 G IV PO ESTÉRIL CT FA VD TRANS + AMP DIL X 10 ML,800,"R$48.824,00"
ROPI 2 MG/ML SOL INJ CX 5 EST X FA VD TRANS X 20 ML,ROPI 2 MG/ML SOL INJ CX 5 EST X FA VD TRANS X 20 ML,40,"R$2.074,80"
"ROPI 7,5 MG/ML SOL INJ CX 5 EST X FA VD TRANS X 20 ML","ROPI 7,5 MG/ML SOL INJ CX 5 EST X FA VD TRANS X 20 ML",32,"R$2.489,92"
ROPOLIVY 140 MG PO LIOF SOL INJ IV CT FA VD TRANS,ROPOLIVY 140 MG PO LIOF SOL INJ IV CT FA VD TRANS,34,"R$2.404.647,46"
ROPOLIVY 30 MG PO LIOF SOL INJ IV CT FA VD TRANS,ROPOLIVY 30 MG PO LIOF SOL INJ IV CT FA VD TRANS,223,"R$3.343.706,58"
SANDOSTATIN 20 MG PO SUS INJ CT FA VD + 1 SER DIL X 2 ML,SANDOSTATIN 20 MG PO SUS INJ CT FA VD + 1 SER DIL X 2 ML,2,"R$14.230,25"
SANDOSTATIN 30 MG PO SUS INJ CT FA VD + 1 SER DIL X 2 ML,SANDOSTATIN 30 MG PO SUS INJ CT FA VD + 1 SER DIL X 2 ML,1,"R$8.804,91"
SAPHNELO 150 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 2 ML,SAPHNELO 150 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 2 ML,28,"R$137.153,25"
SCEMBLIX 40 MG COM REV CT FR PLAS PEAD OPC X 60,SCEMBLIX 40 MG COM REV CT FR PLAS PEAD OPC X 60,2,"R$51.623,19"
SELOKEN 100 MG COM CT BL AL/AL X 30,SELOKEN 100 MG COM CT BL AL/AL X 30,12,"R$453,00"
SELOZOK 25 MG COM REV LIB CT BL PLAS INC X 30,SELOZOK 25 MG COM REV LIB CT BL PLAS INC X 30,"1,292","R$23.435,40"
SOLUÇAO DE  MANITOL 20%200MG/ML INJ IV PP SIST FECHX250ML,SOLUÇAO DE  MANITOL 20%200MG/ML INJ IV PP SIST FECHX250ML,19,"R$5.101,69"
"SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML","SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML","1,541","R$5.241.279,99"
"SONDELBAY 250 MCG/ML SOL INJ X 2,4 ML X CAN APLIC","SONDELBAY 250 MCG/ML SOL INJ X 2,4 ML X CAN APLIC",2,"R$2.278,03"
STIVARGA 40 MG COM REV CT FR PLAS OPC X 84,STIVARGA 40 MG COM REV CT FR PLAS OPC X 84,98,"R$1.415.683,51"
"SYNAGIS 100 MG/ML SOL INJ CT FA VD INC X 0,5 ML","SYNAGIS 100 MG/ML SOL INJ CT FA VD INC X 0,5 ML",16,"R$46.588,10"
"SYNAGIS 100 MG/ML SOL INJ CT FA VD INC X 1,0 ML","SYNAGIS 100 MG/ML SOL INJ CT FA VD INC X 1,0 ML",80,"R$458.720,00"
TAFINLAR 75 MG CAP DURA CT FR PLAS OPC X 120,TAFINLAR 75 MG CAP DURA CT FR PLAS OPC X 120,2,"R$73.695,08"
TAGRISSO 40 MG COM REV CT BL AL AL X 30,TAGRISSO 40 MG COM REV CT BL AL AL X 30,79,"R$2.615.762,83"
TAGRISSO 80 MG COM REV CT BL AL AL X 30,TAGRISSO 80 MG COM REV CT BL AL AL X 30,"1,216","R$40.475.714,61"
TAMIFLU 75 MG CAP DURA CT BL AL PLAS TRANS X 10,TAMIFLU 75 MG CAP DURA CT BL AL PLAS TRANS X 10,22,"R$5.511,00"
TARCEVA 150 MG COM REV CT BL AL PVC X 30,TARCEVA 150 MG COM REV CT BL AL PVC X 30,14,"R$154.628,48"
TECENTRIQ SC 1875 MG SOL INJ SC CT FA VD TRANS X 15 ML,TECENTRIQ SC 1875 MG SOL INJ SC CT FA VD TRANS X 15 ML,3,"R$86.154,75"
TECENTRIQ 1200 MG SOL DIL INFUS IV CT FA VD TRANS X 20 ML,TECENTRIQ 1200 MG SOL DIL INFUS IV CT FA VD TRANS X 20 ML,286,"R$8.100.007,12"
TECENTRIQ 840 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML,TECENTRIQ 840 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML,19,"R$385.647,92"
TENOXICAM 40MG PO LIOF SOL INJ CX50 FA VD TRANS+AMP DILX2ML,TENOXICAM 40MG PO LIOF SOL INJ CX50 FA VD TRANS+AMP DILX2ML,36,"R$11.863,44"
TERMOFRIENDS 4 UNIDADES - BABYDEAS,TERMOFRIENDS 4 UNIDADES - BABYDEAS,"2,710","R$31.823,00"
"TEZSPIRE 210MG/1,91ML SOL INJ CT SER PREENCX1,91ML+CAN APLIC","TEZSPIRE 210MG/1,91ML SOL INJ CT SER PREENCX1,91ML+CAN APLIC",703,"R$5.745.624,46"
TOSILATO DE SORAFENIBE 200 MG X 60 COM,TOSILATO DE SORAFENIBE 200 MG X 60 COM,26,"R$97.156,18"
TRIDIL 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML,TRIDIL 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML,57,"R$12.639,40"
TRIDIL 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML,TRIDIL 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML,50,"R$9.642,00"
TRUQAP 64COM 160MG,TRUQAP 64COM 160MG,5,"R$176.549,60"
TRUQAP 64COM 200MG,TRUQAP 64COM 200MG,36,"R$1.365.013,36"
TYKERB 250 MG COM REV CT FR PLAS OPC X 70,TYKERB 250 MG COM REV CT FR PLAS OPC X 70,3,"R$19.018,66"
VABYSMO 120 MG/ML SOL INJ IVIT CT 1 FA VD  X 0.24 ML + AGU,VABYSMO 120 MG/ML SOL INJ IVIT CT 1 FA VD  X 0.24 ML + AGU,770,"R$2.083.470,41"
VALCYTE 450 MG COM REV CT FR PLAS OPC X 60,VALCYTE 450 MG COM REV CT FR PLAS OPC X 60,19,"R$245.369,12"
VANNAIR (6 + 100) MCG SUS AER INA OR X 120 ACI + DISP INAL,VANNAIR (6 + 100) MCG SUS AER INA OR X 120 ACI + DISP INAL,172,"R$20.918,49"
VENALOT 15MG+90MG COM REV LIB PROL CT BL AL PLAS X60,VENALOT 15MG+90MG COM REV LIB PROL CT BL AL PLAS X60,154,"R$3.161,62"
VORI 200 MG COM REV CT BL AL PLAS TRANS X 14,VORI 200 MG COM REV CT BL AL PLAS TRANS X 14,50,"R$7.689,50"
VORICONAZOL 200 MG COM REV CT BL TRANS X 14,VORICONAZOL 200 MG COM REV CT BL TRANS X 14,37,"R$9.564,61"
VORICONAZOL 200 MG PO LIOF SOL INJ INFUS IV CT 1 FA VD TRANS,VORICONAZOL 200 MG PO LIOF SOL INJ INFUS IV CT 1 FA VD TRANS,300,"R$26.547,00"
VOTRIENT 200 MG COM REV CT FR PLAS OPC X 30,VOTRIENT 200 MG COM REV CT FR PLAS OPC X 30,1,"R$3.395,78"
XELODA 500 MG COM REV CT BL AL  PLAS PVC/PVDC TRANS X 120,XELODA 500 MG COM REV CT BL AL  PLAS PVC/PVDC TRANS X 120,22,"R$51.802,75"
XOLAIR 150 MG SOL INJ CT 1 SER PREENC VD TRANS X 1 ML,XOLAIR 150 MG SOL INJ CT 1 SER PREENC VD TRANS X 1 ML,611,"R$1.636.304,57"
XYLESTESIN ISOBARICO 20MG/ML SOL INJ CX40 ESTX1 AMP VDX5ML,XYLESTESIN ISOBARICO 20MG/ML SOL INJ CX40 ESTX1 AMP VDX5ML,28,"R$3.528,84"
XYLESTESIN 10 MG/ML SOL INJ CX 10 EST FA VD TRANS X 20 ML,XYLESTESIN 10 MG/ML SOL INJ CX 10 EST FA VD TRANS X 20 ML,10,"R$427,20"
XYLESTESIN 100 MG/ML SOL SPR CT FR SPR VD TRANS X 50 ML,XYLESTESIN 100 MG/ML SOL SPR CT FR SPR VD TRANS X 50 ML,50,"R$1.403,50"
XYLESTESIN 20 MG/G GEL CX 10 BG AL X 30 G + 10 APLIC,XYLESTESIN 20 MG/G GEL CX 10 BG AL X 30 G + 10 APLIC,36,"R$1.197,36"
XYLESTESIN 20 MG/G GEL CX 10 SER PRENC PLAST TRANS X 10 G,XYLESTESIN 20 MG/G GEL CX 10 SER PRENC PLAST TRANS X 10 G,24,"R$2.636,40"
XYLESTESIN 20 MG/ML SOL INJ CX 10 EST SEM VASO X 20 ML,XYLESTESIN 20 MG/ML SOL INJ CX 10 EST SEM VASO X 20 ML,5,"R$213,60"
ZEJULA 100 MG CAP DURA CT BL AL PLAS PVC/PCTFE OPC X 28,ZEJULA 100 MG CAP DURA CT BL AL PLAS PVC/PCTFE OPC X 28,49,"R$534.733,93"
ZEJULA 100 MG CAP DURA CT BL AL PLAS PVC/PCTFE OPC X 56,ZEJULA 100 MG CAP DURA CT BL AL PLAS PVC/PCTFE OPC X 56,131,"R$2.865.172,58"
ZELBORAF 240 MG COM REV CT BL AL AL X 56,ZELBORAF 240 MG COM REV CT BL AL AL X 56,47,"R$488.854,24"
"ZOLADEX 10,8MG DEPOT+SER PREENC PLAS BS CT ENV AL POLIETX1","ZOLADEX 10,8MG DEPOT+SER PREENC PLAS BS CT ENV AL POLIETX1","5,729","R$4.924.571,43"
"ZOLADEX 3,6MG DEPOT+SER PREENC PLASBS CT ENV AL POLIETX1","ZOLADEX 3,6MG DEPOT+SER PREENC PLASBS CT ENV AL POLIETX1","3,254","R$1.526.094,35"
000 - APARELHO CELULAR,,1,"R$2,00"
000 - NOTEBOOK LENOVO B330 i5-8250U 8GB 1TB W10P - 81M10005B,,2,"R$8,00"
Total - Item de estoque,,"86,648","R$343.136.393,35"
Outros encargos,,,
000 - DESCONTOS OBTIDOS,,-3,"R$849,88"
Total - Outros encargos,,-3,"R$849,88"
Total,,"86,645","R$343.137.243,23"
